Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Bennelong,105,North Ryde Heights,North Ryde Community Church,2 Cutler Pde,,,NORTH RYDE,NSW,2113,-33.8005415,151.1309669
NSW,Bennelong,105,Putney,Putney Public School,193 Morrison Rd,,,PUTNEY,NSW,2112,-33.82463377,151.1109667
NSW,Bennelong,105,Putney West,Tennyson Pre-school Kindergarten,15A Stanbury St,,,GLADESVILLE,NSW,2111,-33.82749738,151.1203173
NSW,Bennelong,105,Ryde,The Living Way Church,85 North Rd,,,RYDE,NSW,2112,-33.79938481,151.1038526
NSW,Bennelong,105,Ryde Central,St Annes Anglican Church,42 Church St,,,RYDE,NSW,2112,-33.815245,151.104829
NSW,Bennelong,105,Ryde Heights,Meadowbank Public School,6 Rhodes St,,,Meadowbank,NSW,2114,-33.81254601,151.0923358
NSW,Bennelong,105,Ryde South,St Charles' Catholic Primary School,582 Victoria Rd,,,RYDE,NSW,2112,-33.81926067,151.1149483
NSW,Bennelong,105,Sydney (Bennelong),York Events ,Lvl 2 95-99 York St,,,SYDNEY,NSW,2000,-33.87014175,151.2058079
NSW,Bennelong,105,Top Ryde,Ryde Public School,18 Pope St,,,RYDE,NSW,2112,-33.8118,151.108
NSW,Bennelong,105,West Ryde,West Ryde Public School,6 Endeavour St,,,WEST RYDE,NSW,2114,-33.80835264,151.0850869
NSW,Bennelong,105,West Ryde Central,Smalls Road Public School,3B Smalls Rd,,,RYDE,NSW,2112,-33.7995913,151.1100957
NSW,Berowra,106,Annangrove,,,,,,,,,
NSW,Berowra,106,Annangrove (Berowra),Annangrove Public School,185 Annangrove Rd,,,ANNANGROVE,NSW,2156,-33.66838309,150.9523227
NSW,Berowra,106,Arcadia,Arcadia Public School,140 Arcadia Rd,,,ARCADIA,NSW,2159,-33.6235873,151.0510469
NSW,Berowra,106,Asquith (Berowra),Asquith Public School,3 Dudley St,,,ASQUITH,NSW,2077,-33.68573643,151.1122514
NSW,Berowra,106,Beecroft,Beecroft Public School,90-98 Beecroft Rd,,,BEECROFT,NSW,2119,-33.7523233,151.0651663
